type,caption,alt_text,src,href
"IMAGE , GIF",Martins Indi Shoe game strong,,Bruno Martins Indi genuinely upset.mp4,https://imgur.com/gallery/ukVfm
Artikel,The Disappearing Bodega/Corner store,Artikel over het verdwijnen van corner store’s in NY.,The Disappearing Bodega/Corner store.png,https://clintonhillchill.wordpress.com/2008/08/06/the-disappearing-bodegacorner-store/
Artikel,Corner shops got us through lockdown. Now delivery apps could destroy them,,Corner shops got us through lockdown.png,https://www.theguardian.com/commentisfree/2021/jun/05/corner-shops-lockdown-delivery-apps-grocery-stores
VIDEO (found footage) ,Beijerlandselaan: Mislukte integratie of reflectie van de multiculturele samenleving,"0:31 - 0:40 

1:14 - 1:19

1:53 - 1:58 ‘ik heb hier mijn vrouw leren kennen’
",Beijerlandselaan.png,https://youtu.be/TFgDRAuZ8l4?t=96
Artikel,A cultural history of the corner shop,"The corner shop is also a cornerstone of pop culture. Over the years, this cosy setting has been portrayed in numerous soap operas, sitcoms and movies, as a social hub and often a spot for gossip. Arguably the most famous British example is the classic BBC sitcom Open All Hours, which ran for four series between 1976 and 1985, featuring the late Ronnie Barker as stammering, tight-fisted shopkeeper Albert Arkwright, and David Jason as his hapless nephew/assistant Granville (Jason recently reprised this role in Still Open All Hours). The show remains incredibly resonant, not only through its fruity comedy and slapstick scenes (Arkwright: “I hate that scrunching sound errand boys make when you have to stand on them”), but also through its unmistakeable poignance; each episode would satisfyingly conclude with Arkwright’s twilight monologue, as he shut up shop.’ Britain’s tiny island has often been branded ‘a nation of shopkeepers’ – it’s a phrase that was once believed to be a Napoleonic insult, though it was positively declared by Scottish economist/philosopher Adam Smith, in his 1776 book The Wealth of Nations. The staple British corner shop as we know it dates back to Victorian times; much would also be made of so-called ‘Iron Lady’ UK Prime Minister Margaret Thatcher’s background as a grocer’s daughter: the corner shop represented humble yet sturdy trade. Our sense of quaint pride in its identity and evolution (from formal counter-service to grab-and-go purchases) was recently portrayed in a BBC reality documentary, Back in Time for the Corner Shop, where a real-life Sheffield family lived and worked as local shop retailers, in ‘eras’ spanning the late 19th Century to the 1990s.",A cultural history of the corner shop.png,https://www.bbc.com/culture/article/20200325-a-cultural-history-of-the-beloved-corner-shop
VIDEO (found footage) ,"Revitalisering van een winkelstraat, Schiedamseweg Rotterdam","1:42 - 2:05

4:00 - 4:26 gevelaanpak
",Schiedamseweg.png,https://youtu.be/vwU-acpFcVU?t=234
VIDEO (found footage) ,DHC - 180 CC (De Officiële Videoclip/Lyrics),,DHC - 180 CC (De Officiële Videoclip/Lyrics).png,https://www.youtube.com/watch?v=Nj1LpCTeQPM
AUDIO,Lijpe - mijn story,,LIJPE - MIJN STORY.png,https://www.youtube.com/watch?v=zARNNqAt3uA&ab_channel=TopNotch
VIDEO (found footage) ,The Birth of Hip Hop,,THE BIRTH OF HIPHOP.png,https://www.youtube.com/watch?v=10C-Q3NIlzU&ab_channel=BlackHistoryinTwoMinutesorso
VIDEO (found footage) ,Pirate radio London,The Importance of Pirate Radio...: Rinse,Pirate radio London.png,https://www.youtube.com/watch?v=C4jBo33nHl0&ab_channel=RinseFM
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ALLES HIERONDER IS CONTENT VANUIT EEN BREDERE SCOPE,,,,
,,,,
,,,,
VIDEO (found footage) ,Chris Edmin - Hiphop ed,,,https://www.youtube.com/watch?v=JDAW36UqXPc&ab_channel=bigideasfest
